s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,AUC
3,1,0,-3,0,1,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-3,0,1,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
3,1,0,-2,-1,1,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-2,-1,1,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
3,1,0,-3,-1,1,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-3,-1,1,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
3,1,0,-3,-2,1,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-3,-2,1,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
3,1,0,-2,-1,0,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-2,-1,0,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
3,1,0,-3,-1,0,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-3,-1,0,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
3,1,0,-3,-2,0,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-3,-2,0,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
3,1,0,-2,0,2,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-2,0,2,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
3,1,0,-3,0,2,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-3,0,2,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
3,1,0,-2,-1,2,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-2,-1,2,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
3,1,0,-3,-1,2,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-3,-1,2,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
3,1,0,-3,-2,2,3,4,3,5,3,-3,0,1,0.9931708600 [0.992077289418-0.994264430618]
3,2,0,-3,-2,2,3,4,3,5,3,-3,0,1,0.9939503499 [0.992935261352-0.994965438370]
2,1,0,-1,0,1,3,5,4,6,4,-4,0,1,0.9938360831 [0.992726768552-0.994945397703]
2,1,0,-1,0,1,4,5,4,6,3,-3,0,1,0.9956716459 [0.994969521309-0.996373770507]
2,1,0,-1,0,1,4,5,4,6,4,-4,0,1,0.9938360831 [0.992726768552-0.994945397703]
2,1,0,-1,0,2,3,5,3,6,3,-3,0,1,0.9926437078 [0.991531350670-0.993756064966]
2,1,0,-1,0,2,3,5,4,6,3,-3,0,1,0.9956716459 [0.994969521309-0.996373770507]
2,1,0,-1,0,2,3,5,4,6,4,-4,0,1,0.9938360831 [0.992726768552-0.994945397703]
2,1,0,-1,0,2,4,5,4,6,3,-3,0,1,0.9956716459 [0.994969521309-0.996373770507]
2,1,0,-1,0,3,4,5,4,6,3,-3,0,1,0.9956716459 [0.994969521309-0.996373770507]
2,1,0,-1,0,2,4,5,4,6,4,-4,0,1,0.9938360831 [0.992726768552-0.994945397703]
2,1,0,-1,0,3,4,5,4,6,4,-4,0,1,0.9938360831 [0.992726768552-0.994945397703]
2,1,0,-2,0,1,3,5,3,6,3,-3,0,1,0.9926437078 [0.991531350670-0.993756064966]
2,1,0,-3,0,1,3,5,3,6,3,-3,0,1,0.9926437078 [0.991531350670-0.993756064966]
2,1,0,-2,-1,1,3,5,3,6,3,-3,0,1,0.9926437078 [0.991531350670-0.993756064966]
